,result,diff,elo,opp_elo,game_time,color,start_time,day,weekday
0,0.0,-243,869,1112,600.0,1,-204.4722222222222,2,0
1,1.0,218,973,755,600.0,0,-296.47222222222223,15,2
2,0.5,-5,975,980,600.0,1,-131.97222222222217,15,2
3,0.0,-434,949,1383,600.0,0,-135.13888888888889,16,3
4,0.0,-148,876,1024,600.0,0,-176.0277777777778,16,3
5,0.0,-164,798,962,300.0,1,-162.36111111111111,16,3
6,1.0,110,830,720,300.0,0,-105.83333333333331,17,4
7,1.0,86,917,831,600.0,0,-6.416666666666664,20,0
8,0.0,-138,881,1019,600.0,0,-170.19444444444446,20,0
9,1.0,142,920,778,600.0,1,-149.11111111111106,21,1
10,0.0,-85,892,977,600.0,1,-150.2222222222222,22,2
11,1.0,83,918,835,300.0,0,-84.58333333333331,22,2
12,0.0,-103,896,999,300.0,0,-139.9444444444444,22,2
13,1.0,-61,931,992,300.0,1,-2.9999999999999947,23,3
14,1.0,106,951,845,300.0,1,-122.44444444444441,24,4
15,0.0,-165,936,1101,300.0,1,-131.25,25,5
16,0.0,-102,915,1017,600.0,1,-241.16666666666666,25,5
17,0.0,-99,898,997,300.0,0,-154.02777777777777,27,0
18,0.0,7,876,869,300.0,0,-98.19444444444443,27,0
19,1.0,-8,898,906,600.0,1,-213.13888888888886,28,1
20,0.0,-88,883,971,600.0,0,-170.44444444444446,28,1
21,0.0,48,862,814,600.0,1,-23.44444444444443,28,1
22,0.5,44,860,816,600.0,0,-277.05555555555554,5,6
23,0.0,-90,847,937,600.0,0,-93.05555555555554,6,0
24,0.0,4,830,826,600.0,1,-160.44444444444446,7,1
25,1.0,4,846,842,180.0,1,-98.58333333333331,8,2
26,0.0,-67,833,900,180.0,1,-27.472222222222207,8,2
27,0.0,-97,821,918,600.0,0,-162.69444444444446,19,6
28,1.0,22,836,814,600.0,1,-283.75,20,0
29,0.0,17,820,803,600.0,0,-137.11111111111111,20,0
30,0.0,-32,807,839,600.0,1,-264.83333333333337,20,0
31,1.0,-23,822,845,300.0,0,-77.80555555555554,20,0
32,0.0,-30,810,840,300.0,1,-128.8333333333333,20,0
33,0.0,0,797,797,300.0,0,-144.74999999999997,20,0
34,1.0,66,807,741,600.0,0,-271.1666666666667,21,1
35,1.0,32,818,786,600.0,1,-190.02777777777774,22,2
36,0.0,-14,807,821,300.0,1,-111.94444444444443,22,2
37,1.0,82,816,734,600.0,1,-97.02777777777776,22,2
38,0.5,48,815,767,600.0,0,-211.2222222222222,23,3
39,0.0,-64,806,870,600.0,1,-134.13888888888889,23,3
40,1.0,-6,817,823,600.0,0,-65.38888888888889,26,6
41,0.0,20,806,786,600.0,1,-242.33333333333331,26,6
42,1.0,59,815,756,600.0,1,-145.0,26,6
43,0.0,-62,807,869,600.0,0,-303.6111111111111,26,6
44,0.0,-32,798,830,600.0,0,-164.94444444444443,27,0
45,1.0,30,807,777,600.0,0,-169.75,27,0
46,0.0,-64,799,863,600.0,1,-229.41666666666666,27,0
47,0.0,-56,791,847,600.0,0,-22.166666666666675,28,1
48,1.0,-78,802,880,300.0,1,-43.63888888888888,28,1
49,0.0,-54,795,849,300.0,0,-165.2222222222222,29,2
50,1.0,57,802,745,600.0,1,-306.13888888888886,29,2
51,1.0,37,810,773,600.0,0,-254.69444444444446,29,2
52,1.0,8,818,810,300.0,1,-141.6111111111111,30,3
53,0.0,-144,813,957,300.0,1,-143.22222222222223,7,4
54,0.0,-48,805,853,600.0,0,-179.52777777777774,8,5
55,0.0,4,796,792,600.0,1,-215.3611111111111,9,6
56,1.0,36,804,768,600.0,0,-102.1111111111111,11,1
57,0.0,32,795,763,600.0,0,-39.19444444444441,12,2
58,1.0,36,803,767,600.0,0,-202.69444444444443,12,2
59,1.0,1,811,810,600.0,1,-162.77777777777774,12,2
60,0.0,-20,803,823,600.0,1,-275.8333333333333,13,3
61,0.0,-81,797,878,600.0,0,-62.944444444444436,14,4
62,1.0,-28,806,834,600.0,0,-282.38888888888886,15,5
63,0.0,125,795,670,600.0,0,-119.99999999999999,15,5
64,1.0,-37,804,841,600.0,1,-170.8611111111111,16,6
65,1.0,61,811,750,600.0,1,-195.1111111111111,16,6
66,1.0,37,819,782,600.0,0,-263.66666666666663,17,0
67,1.0,48,826,778,600.0,1,-260.4166666666667,17,0
68,0.0,-44,819,863,600.0,0,-249.55555555555557,18,1
69,0.0,-113,813,926,600.0,0,-250.3611111111111,18,1
70,0.0,-2,805,807,300.0,1,-136.49999999999997,19,2
71,0.0,0,797,797,600.0,1,-296.6944444444444,20,3
72,1.0,-80,812,892,600.0,1,-122.5833333333333,21,4
73,1.0,95,822,727,600.0,0,-189.3611111111111,21,4
74,1.0,193,828,635,600.0,1,-101.47222222222221,21,4
75,1.0,8,836,828,600.0,1,-165.25000000000003,23,6
76,0.0,68,826,758,600.0,0,-323.3055555555556,23,6
77,0.0,-44,819,863,600.0,0,-208.38888888888889,24,0
78,1.0,26,827,801,600.0,1,-224.94444444444443,24,0
79,1.0,48,834,786,600.0,1,-149.6111111111111,26,2
80,1.0,-15,851,866,600.0,0,-227.91666666666666,26,2
81,1.0,-11,860,871,600.0,1,-235.16666666666666,26,2
82,1.0,-7,869,876,600.0,1,-182.55555555555557,27,3
83,0.0,29,860,831,600.0,0,-51.47222222222221,27,3
84,0.0,-93,854,947,600.0,1,-208.49999999999997,27,3
85,0.0,5,845,840,600.0,0,-331.1666666666667,27,3
86,1.0,24,853,829,600.0,1,-296.36111111111114,28,4
87,0.0,-4,845,849,600.0,0,-254.83333333333334,28,4
88,0.0,-8,837,845,600.0,0,-331.08333333333337,28,4
89,0.5,31,836,805,600.0,1,-195.49999999999997,28,4
90,0.5,26,835,809,600.0,0,-126.19444444444443,28,4
91,1.0,260,839,579,600.0,0,-172.77777777777774,28,4
92,0.0,-46,832,878,600.0,0,-172.88888888888886,28,4
93,0.0,105,819,714,600.0,1,-90.63888888888887,28,4
94,1.0,48,826,778,600.0,1,-75.22222222222221,29,5
95,0.0,-2,818,820,600.0,1,-256.94444444444446,29,5
96,0.0,-57,811,868,600.0,1,-223.13888888888883,29,5
97,1.0,-20,820,840,600.0,1,-33.1388888888889,30,6
98,0.0,-31,812,843,600.0,0,-147.02777777777777,30,6
99,0.0,-14,804,818,600.0,0,-250.25,30,6
100,0.0,9,795,786,600.0,0,-206.13888888888886,30,6
101,1.0,8,803,795,600.0,1,-173.83333333333331,30,6
102,0.0,-54,796,850,600.0,0,-47.27777777777774,30,6
103,1.0,74,803,729,600.0,0,-207.75,30,6
104,0.0,-7,795,802,600.0,1,-163.63888888888886,30,6
105,0.5,-38,796,834,600.0,1,-148.16666666666669,30,6
106,0.0,-14,788,802,600.0,0,-184.75,30,6
107,0.0,34,779,745,600.0,1,-279.3333333333333,30,6
108,0.0,7,770,763,600.0,1,-277.30555555555554,30,6
109,0.0,-86,764,850,600.0,1,-23.99999999999998,30,6
110,0.0,-14,756,770,600.0,0,-178.86111111111111,1,0
111,1.0,47,763,716,600.0,1,-285.5,1,0
112,0.0,4,754,750,600.0,0,-325.0,2,1
113,1.0,-24,763,787,600.0,0,-86.74999999999997,2,1
114,0.0,-47,756,803,600.0,0,-239.86111111111111,2,1
115,0.0,-141,751,892,600.0,1,-121.94444444444443,2,1
116,1.0,-17,760,777,600.0,1,-68.52777777777777,2,1
117,1.0,54,767,713,600.0,0,-220.13888888888889,2,1
118,0.0,-88,761,849,600.0,0,-223.72222222222217,2,1
119,0.0,93,750,657,600.0,0,-252.83333333333331,2,1
120,0.0,8,741,733,600.0,1,-199.08333333333334,3,2
121,1.0,-62,751,813,600.0,1,-37.777777777777764,3,2
122,0.0,-16,743,759,600.0,0,-159.5,3,2
123,1.0,-65,753,818,600.0,1,-101.49999999999997,3,2
124,0.5,-47,754,801,600.0,0,-145.19444444444443,4,3
125,0.0,-80,747,827,600.0,0,-316.5,4,3
126,0.0,28,738,710,600.0,1,-72.74999999999997,4,3
127,0.0,-18,730,748,600.0,1,-95.41666666666666,5,4
128,1.0,43,737,694,600.0,0,-85.4722222222222,5,4
129,1.0,14,745,731,600.0,1,-235.49999999999997,5,4
130,0.0,16,736,720,600.0,0,-234.44444444444443,5,4
131,1.0,10,744,734,600.0,1,-62.24999999999997,5,4
132,0.0,-6,736,742,600.0,0,-88.36111111111109,5,4
133,0.0,-74,729,803,600.0,1,-300.99999999999994,5,4
134,0.0,-84,723,807,600.0,0,-201.38888888888889,5,4
135,0.0,-26,715,741,600.0,1,-207.8055555555555,5,4
136,0.0,-46,708,754,600.0,0,-159.24999999999994,5,4
137,1.0,-25,717,742,600.0,0,-162.97222222222223,6,5
138,0.0,30,708,678,600.0,1,-143.75,6,5
139,1.0,78,715,637,600.0,1,-303.44444444444446,6,5
140,1.0,28,723,695,600.0,1,-260.25,6,5
141,1.0,93,729,636,600.0,0,-10.55555555555554,6,5
142,1.0,31,737,706,600.0,1,-54.38888888888886,6,5
143,1.0,-5,746,751,600.0,0,-1.1111111111110945,6,5
144,1.0,93,752,659,600.0,0,-167.3611111111111,6,5
145,0.0,-65,745,810,600.0,1,-130.1111111111111,6,5
146,0.0,-35,737,772,600.0,0,-299.25,6,5
147,0.0,9,728,719,600.0,1,-207.77777777777774,6,5
148,0.0,48,718,670,600.0,0,-318.9444444444444,7,6
149,1.0,-8,727,735,600.0,0,-183.41666666666666,7,6
150,0.0,-41,720,761,600.0,0,-304.3888888888889,7,6
151,0.0,-12,712,724,600.0,1,-287.3611111111111,7,6
152,0.0,6,703,697,600.0,1,-123.22222222222221,7,6
153,0.0,102,692,590,600.0,1,-273.3611111111111,7,6
154,1.0,0,700,700,600.0,1,-91.66666666666667,8,0
155,0.0,24,691,667,600.0,0,-187.0,8,0
156,0.5,18,691,673,600.0,1,-217.9444444444444,8,0
157,1.0,124,696,572,600.0,0,-63.111111111111086,8,0
158,1.0,36,704,668,600.0,0,-267.05555555555554,8,0
159,0.5,-26,705,731,600.0,0,-220.7222222222222,8,0
160,0.0,-41,698,739,600.0,1,-330.4166666666667,8,0
161,0.0,-13,690,703,600.0,0,-266.6111111111111,8,0
162,0.0,81,680,599,600.0,1,-155.91666666666666,8,0
163,1.0,92,686,594,600.0,1,-215.0833333333333,8,0
164,0.0,-71,679,750,600.0,0,-193.05555555555551,8,0
165,1.0,39,686,647,600.0,1,-98.1111111111111,9,1
166,1.0,104,692,588,600.0,0,-60.77777777777777,9,1
167,1.0,-40,702,742,600.0,1,-322.16666666666663,9,1
168,0.0,-71,695,766,600.0,1,-156.05555555555554,9,1
169,0.0,-26,687,713,600.0,0,-18.305555555555543,9,1
170,1.0,-25,696,721,600.0,0,-285.25,9,1
171,1.0,-7,705,712,600.0,1,-321.05555555555554,9,1
172,0.0,-53,698,751,600.0,0,-150.58333333333331,9,1
173,1.0,-71,708,779,600.0,1,-293.55555555555554,9,1
