,date,day,weekday,start_time,game_time,color,elo,opp_elo,diff,result,won_by,num_moves,opp_num_moves,avg_time,opp_avg_time,castled_on,opp_castled_on,castled,opp_castled,time_used,opp_time_used,max_move,opp_max_move
0,2017-01-02,2,0,14529.722222222223,600,1,1000.0,1243.0,-243,0.0,8,38,38,8.947368421052632,10.526315789473685,15,10,1,1,340,400,25.899999999999977,33.799999999999955
1,2017-02-15,15,2,17476.944444444445,600,0,869.0,651.0,218,1.0,6,63,63,7.936507936507937,9.523809523809524,0,0,-1,-1,500,600,26.0,33.0
2,2017-02-15,15,2,18691.38888888889,600,1,973.0,978.0,-5,0.5,5,44,43,5.681818181818182,5.116279069767442,0,0,-1,-1,250,220,30.5,19.400000000000034
3,2017-02-16,16,3,11008.611111111111,600,0,975.0,1409.0,-434,0.0,8,27,28,7.777777777777778,10.0,0,11,-1,0,210,280,79.90000000000003,50.40000000000009
4,2017-02-16,16,3,11365.0,600,0,949.0,1097.0,-148,0.0,8,37,38,7.5675675675675675,9.210526315789474,0,5,-1,1,280,350,36.30000000000001,59.80000000000001
5,2017-02-16,16,3,11841.111111111111,300,1,876.0,1040.0,-164,0.0,6,32,32,9.375,9.0625,15,0,0,-1,300,290,45.099999999999994,32.0
6,2017-02-17,17,4,10952.77777777778,300,0,798.0,688.0,110,1.0,7,21,21,4.761904761904762,13.333333333333334,0,15,-1,1,100,280,14.600000000000023,38.10000000000002
7,2017-02-20,20,0,11969.166666666666,600,0,830.0,744.0,86,1.0,7,3,3,6.666666666666667,3.3333333333333335,0,0,-1,-1,20,10,9.799999999999955,2.3999999999999773
8,2017-02-20,20,0,12002.777777777777,600,0,917.0,1055.0,-138,0.0,2,24,25,12.5,12.8,0,7,-1,1,300,320,37.60000000000002,30.80000000000001
9,2017-02-21,21,1,18290.0,600,1,881.0,739.0,142,1.0,8,25,24,8.8,13.333333333333334,0,0,-1,-1,220,320,26.200000000000045,50.5
10,2017-02-22,22,2,10913.333333333334,600,1,920.0,1005.0,-85,0.0,7,41,41,7.073170731707317,6.097560975609756,0,12,-1,1,290,250,34.80000000000001,29.599999999999966
11,2017-02-22,22,2,17618.05555555556,300,0,892.0,809.0,83,1.0,7,23,24,5.6521739130434785,7.083333333333333,0,12,-1,1,130,170,18.5,19.30000000000001
12,2017-02-22,22,2,18301.666666666664,300,0,918.0,1021.0,-103,0.0,8,57,58,4.56140350877193,4.137931034482759,0,16,-1,1,260,240,32.599999999999994,18.30000000000001
13,2017-02-23,23,3,10987.777777777777,300,1,896.0,957.0,-61,1.0,7,2,2,0.0,5.0,0,0,-1,-1,0,10,4.0,4.5
14,2017-02-24,24,4,10531.944444444443,300,1,931.0,825.0,106,1.0,7,34,33,6.176470588235294,6.96969696969697,0,7,-1,0,210,230,18.0,23.099999999999994
15,2017-02-25,25,5,11217.222222222223,300,1,951.0,1116.0,-165,0.0,8,23,23,12.173913043478262,8.26086956521739,0,12,-1,1,280,190,34.30000000000001,26.700000000000017
16,2017-02-25,25,5,21816.94444444444,600,1,936.0,1038.0,-102,0.0,7,31,31,12.903225806451612,15.161290322580646,17,8,1,1,400,470,29.299999999999955,41.099999999999966
17,2017-02-27,27,0,17116.111111111113,300,0,915.0,1014.0,-99,0.0,6,30,31,10.0,8.387096774193548,0,14,-1,0,300,260,34.79999999999998,30.900000000000006
18,2017-02-27,27,0,17680.0,300,0,898.0,891.0,7,0.0,7,22,23,7.2727272727272725,8.695652173913043,0,17,-1,0,160,200,31.80000000000001,25.200000000000017
19,2017-02-28,28,1,9784.166666666666,600,1,876.0,884.0,-8,1.0,8,31,30,16.129032258064516,8.666666666666666,14,0,1,-1,500,260,79.80000000000001,34.599999999999966
20,2017-02-28,28,1,11650.833333333332,600,0,898.0,986.0,-88,0.0,7,29,30,14.482758620689655,6.333333333333333,19,19,1,0,420,190,53.19999999999999,22.100000000000023
21,2017-02-28,28,1,15444.722222222223,600,1,883.0,835.0,48,0.0,7,9,8,4.444444444444445,6.25,0,0,-1,-1,40,50,10.299999999999955,11.600000000000023
22,2017-03-05,5,6,23407.5,600,0,862.0,818.0,44,0.5,5,59,60,8.64406779661017,8.166666666666666,14,17,1,0,510,490,41.099999999999966,53.0
23,2017-03-06,6,0,18237.5,600,0,860.0,950.0,-90,0.0,7,19,19,10.526315789473685,6.842105263157895,18,6,1,1,200,130,42.700000000000045,24.300000000000068
24,2017-03-07,7,1,17791.111111111113,600,1,847.0,843.0,4,0.0,8,25,25,10.4,12.8,0,0,-1,-1,260,320,25.600000000000023,38.0
25,2017-03-08,8,2,17434.444444444445,180,1,830.0,826.0,4,1.0,6,45,44,4.0,4.090909090909091,19,14,1,0,180,180,17.299999999999983,21.5
26,2017-03-08,8,2,17704.722222222223,180,1,846.0,913.0,-67,0.0,8,16,16,4.375,1.875,0,0,-1,-1,70,30,9.099999999999994,4.300000000000011
27,2017-03-19,19,6,17614.44444444444,600,0,833.0,930.0,-97,0.0,8,40,41,7.25,7.317073170731708,0,29,-1,0,290,300,35.69999999999999,28.0
28,2017-03-20,20,0,15273.888888888889,600,1,821.0,799.0,22,1.0,6,52,51,8.26923076923077,11.764705882352942,0,7,-1,1,430,600,49.0,46.30000000000001
29,2017-03-20,20,0,16497.5,600,0,836.0,819.0,17,0.0,8,42,43,5.714285714285714,5.813953488372093,0,22,-1,1,240,250,28.0,15.799999999999955
30,2017-03-20,20,0,16650.0,600,1,820.0,852.0,-32,0.0,8,64,64,6.71875,8.28125,0,0,-1,-1,430,530,50.69999999999999,123.69999999999999
31,2017-03-20,20,0,17579.166666666668,300,0,807.0,830.0,-23,1.0,7,20,20,7.0,7.0,0,10,-1,1,140,140,22.700000000000045,27.700000000000017
32,2017-03-20,20,0,18551.944444444445,300,1,822.0,852.0,-30,0.0,6,45,45,6.666666666666667,3.5555555555555554,0,21,-1,1,300,160,29.599999999999994,18.30000000000001
33,2017-03-20,20,0,18750.277777777777,300,0,810.0,810.0,0,0.0,6,32,33,9.375,7.2727272727272725,0,0,-1,-1,300,240,92.20000000000002,23.30000000000001
34,2017-03-21,21,1,10611.111111111111,600,0,797.0,731.0,66,1.0,6,30,30,12.666666666666666,20.0,5,14,1,1,380,600,79.5,69.20000000000005
35,2017-03-22,22,2,10230.277777777777,600,1,807.0,775.0,32,1.0,8,34,33,9.705882352941176,10.606060606060606,0,0,-1,-1,330,350,20.5,31.999999999999943
36,2017-03-22,22,2,17421.111111111113,300,1,818.0,832.0,-14,0.0,8,21,21,8.095238095238095,10.952380952380953,11,8,1,1,170,230,28.299999999999983,33.30000000000001
37,2017-03-22,22,2,18594.722222222223,600,1,807.0,725.0,82,1.0,8,25,24,7.6,6.666666666666667,0,0,-1,-1,190,160,19.40000000000009,21.900000000000034
38,2017-03-23,23,3,13741.111111111111,600,0,816.0,768.0,48,0.5,1,43,44,9.767441860465116,7.7272727272727275,0,0,-1,-1,420,340,42.900000000000034,26.69999999999999
39,2017-03-23,23,3,14841.944444444443,600,1,815.0,879.0,-64,0.0,8,47,47,5.319148936170213,4.8936170212765955,0,13,-1,0,250,230,33.5,15.399999999999977
40,2017-03-26,26,6,11210.0,600,0,806.0,812.0,-6,1.0,8,12,12,10.833333333333334,9.166666666666666,0,0,-1,-1,130,110,64.30000000000001,20.799999999999955
41,2017-03-26,26,6,14232.777777777777,600,1,817.0,797.0,20,0.0,7,54,54,8.148148148148149,8.148148148148149,7,20,1,0,440,440,41.5,59.099999999999966
42,2017-03-26,26,6,16498.333333333332,600,1,806.0,747.0,59,1.0,7,18,17,17.77777777777778,11.764705882352942,6,0,1,-1,320,200,52.89999999999998,29.5
43,2017-03-26,26,6,22662.5,600,0,815.0,877.0,-62,0.0,6,48,49,12.5,10.0,7,22,1,0,600,490,58.5,43.200000000000045
44,2017-03-27,27,0,14089.444444444445,600,0,807.0,839.0,-32,0.0,7,27,28,11.11111111111111,10.714285714285714,0,17,-1,1,300,300,38.5,31.599999999999966
45,2017-03-27,27,0,14271.388888888889,600,0,798.0,768.0,30,1.0,7,34,34,7.352941176470588,10.588235294117647,7,14,1,0,250,360,39.10000000000002,70.5
46,2017-03-27,27,0,18993.88888888889,600,1,807.0,871.0,-64,0.0,7,27,27,13.333333333333334,17.40740740740741,0,6,-1,1,360,470,39.80000000000001,86.5
47,2017-03-28,28,1,13863.888888888889,600,0,799.0,855.0,-56,0.0,2,5,6,10.0,5.0,0,0,-1,-1,50,30,19.199999999999932,15.100000000000023
48,2017-03-28,28,1,18402.222222222223,300,1,791.0,869.0,-78,1.0,6,16,15,5.625,20.0,8,12,1,1,90,300,13.0,11.399999999999977
