,date,result,white_elo,black_elo,game_time,end_time,num_moves,color,won_by,weekday,day,castled_on,opp_castled_on,castled,opp_castled,time_used,opp_time_used,start_time,opp_num_moves,avg_time,opp_avg_time,white_max_move,black_max_move,max_move,opp_max_move,post_elo,opp_post_elo,elo_delta,elo,opp_elo,diff
0,2017-01-02,0.0,869,1112,600,14735.277777777777,38,1,8,0,2,15,10,1,1,340,400,14529.722222222223,38,8.947368421052632,10.526315789473685,25.899999999999977,33.799999999999955,25.899999999999977,33.799999999999955,869,1112,-131.0,1000.0,1243.0,-243
1,2017-02-15,1.0,755,973,600,17782.5,63,0,6,2,15,0,0,-1,-1,500,600,17476.944444444445,63,7.936507936507937,9.523809523809524,33.0,26.0,26.0,33.0,973,755,104.0,869.0,651.0,218
2,2017-02-15,0.5,975,980,600,18821.944444444445,44,1,5,2,15,0,0,-1,-1,250,220,18691.38888888889,43,5.681818181818182,5.116279069767442,30.5,19.400000000000034,30.5,19.400000000000034,975,980,2.0,973.0,978.0,-5
3,2017-02-16,0.0,1383,949,600,11144.722222222223,27,0,8,3,16,0,11,-1,0,210,280,11008.611111111111,28,7.777777777777778,10.0,50.40000000000009,79.90000000000003,79.90000000000003,50.40000000000009,949,1383,-26.0,975.0,1409.0,-434
4,2017-02-16,0.0,1024,876,600,11540.0,37,0,8,3,16,0,5,-1,1,280,350,11365.0,38,7.5675675675675675,9.210526315789474,59.80000000000001,36.30000000000001,36.30000000000001,59.80000000000001,876,1024,-73.0,949.0,1097.0,-148
5,2017-02-16,0.0,798,962,300,12005.0,32,1,6,3,16,15,0,0,-1,300,290,11841.111111111111,32,9.375,9.0625,45.099999999999994,32.0,45.099999999999994,32.0,798,962,-78.0,876.0,1040.0,-164
6,2017-02-17,1.0,720,830,300,11058.333333333334,21,0,7,4,17,0,15,-1,1,100,280,10952.77777777778,21,4.761904761904762,13.333333333333334,38.10000000000002,14.600000000000023,14.600000000000023,38.10000000000002,830,720,32.0,798.0,688.0,110
7,2017-02-20,1.0,831,917,600,11977.5,3,0,7,0,20,0,0,-1,-1,20,10,11969.166666666666,3,6.666666666666667,3.3333333333333335,2.3999999999999773,9.799999999999955,9.799999999999955,2.3999999999999773,917,831,87.0,830.0,744.0,86
8,2017-02-20,0.0,1019,881,600,12175.0,24,0,2,0,20,0,7,-1,1,300,320,12002.777777777777,25,12.5,12.8,30.80000000000001,37.60000000000002,37.60000000000002,30.80000000000001,881,1019,-36.0,917.0,1055.0,-138
9,2017-02-21,1.0,920,778,600,18440.0,25,1,8,1,21,0,0,-1,-1,220,320,18290.0,24,8.8,13.333333333333334,26.200000000000045,50.5,26.200000000000045,50.5,920,778,39.0,881.0,739.0,142
10,2017-02-22,0.0,892,977,600,11063.333333333334,41,1,7,2,22,0,12,-1,1,290,250,10913.333333333334,41,7.073170731707317,6.097560975609756,34.80000000000001,29.599999999999966,34.80000000000001,29.599999999999966,892,977,-28.0,920.0,1005.0,-85
