date,result,game_time,end_time,num_moves,color,won_by,weekday,day,castled_on,opp_castled_on,castled,opp_castled,time_used,opp_time_used,start_time,opp_num_moves,avg_time,opp_avg_time,max_move,opp_max_move,post_elo,opp_post_elo,elo_delta,elo,opp_elo,diff,day_game_num
2017-01-02,0.0,600.0,14.0,38.0,1,8,0,2,15,10,1,1,336.2,399.9,14.0,38.0,8.84736842105263,10.523684210526316,25.899999999999977,33.799999999999955,869,1112,-131.0,1000.0,1243.0,-243,1
2017-02-15,1.0,600.0,17.0,63.0,0,6,2,15,0,0,-1,-1,495.9,600.0,17.0,63.0,7.871428571428571,9.523809523809524,26.0,33.0,973,755,104.0,869.0,651.0,218,1
2017-02-15,0.5,600.0,18.0,44.0,1,4,2,15,0,0,-1,-1,253.2,221.89999999999998,18.0,43.0,5.754545454545454,5.160465116279069,30.5,19.400000000000034,975,980,2.0,973.0,978.0,-5,2
2017-02-16,0.0,600.0,11.0,27.0,0,8,3,16,0,11,-1,0,211.3,275.2,11.0,28.0,7.825925925925926,9.828571428571427,79.90000000000003,50.40000000000009,949,1383,-26.0,975.0,1409.0,-434,1
2017-02-16,0.0,600.0,11.0,37.0,0,8,3,16,0,5,-1,1,283.3,350.4,11.0,38.0,7.656756756756757,9.221052631578948,36.30000000000001,59.80000000000001,876,1024,-73.0,949.0,1097.0,-148,2
2017-02-16,0.0,600.0,11.0,32.0,1,7,3,16,15,0,0,-1,599.0,585.5,11.0,32.0,18.71875,18.296875,300.0,302.7,845,1183,-31.0,876.0,1214.0,-338,3
2017-02-16,0.0,300.0,12.0,2.0,1,6,3,16,0,0,-1,-1,300.0,1.3999999999999773,11.0,2.0,150.0,0.6999999999999886,0.6000000000000227,0.6999999999999886,798,962,-47.0,845.0,1009.0,-164,4
2017-02-16,0.0,600.0,12.0,21.0,1,5,3,16,15,0,1,-1,576.8,404.2,12.0,21.0,27.466666666666665,19.247619047619047,300.0,300.7,784,1210,-14.0,798.0,1224.0,-426,5
2017-02-17,1.0,300.0,11.0,2.0,0,7,4,17,0,0,-1,-1,0.0,0.0,11.0,3.0,0.0,0.0,282.1,284.0,830,720,46.0,784.0,674.0,110,1
2017-02-20,1.0,600.0,11.0,3.0,0,5,0,20,0,0,-1,-1,17.5,5.600000000000023,11.0,3.0,5.833333333333333,1.8666666666666742,9.799999999999955,2.3999999999999773,878,820,48.0,830.0,772.0,58,1
2017-02-20,1.0,600.0,11.0,24.0,0,7,0,20,0,7,-1,1,296.0,316.7,11.0,25.0,12.333333333333334,12.668,37.60000000000002,30.80000000000001,917,831,39.0,878.0,792.0,86,2
2017-02-20,0.0,600.0,12.0,24.0,0,5,0,20,0,0,-1,-1,321.7,215.10000000000002,12.0,25.0,13.404166666666667,8.604000000000001,50.5,26.200000000000045,881,1019,-36.0,917.0,1055.0,-138,3
2017-02-21,1.0,600.0,18.0,41.0,1,8,1,21,0,12,-1,1,290.7,250.10000000000002,18.0,41.0,7.090243902439024,6.1000000000000005,34.80000000000001,29.599999999999966,920,778,39.0,881.0,739.0,142,1
2017-02-22,0.0,600.0,11.0,24.0,1,7,2,22,12,0,1,-1,473.3,431.2,10.0,23.0,19.720833333333335,18.747826086956522,304.0,302.0,892,977,-28.0,920.0,1005.0,-85,1
2017-02-22,1.0,300.0,17.0,57.0,0,7,2,22,0,16,-1,1,262.4,241.4,17.0,58.0,4.603508771929824,4.162068965517242,32.599999999999994,18.30000000000001,918,835,26.0,892.0,809.0,83,2
2017-02-22,0.0,300.0,18.0,2.0,0,8,2,22,0,0,-1,-1,6.800000000000011,4.0,18.0,2.0,3.4000000000000057,2.0,4.5,4.0,896,999,-22.0,918.0,1021.0,-103,3
2017-02-23,1.0,300.0,10.0,34.0,1,7,3,23,0,7,-1,0,211.1,229.7,10.0,33.0,6.208823529411765,6.96060606060606,18.0,23.099999999999994,931,992,35.0,896.0,957.0,-61,1
2017-02-24,1.0,300.0,10.0,23.0,1,7,4,24,0,12,-1,1,282.5,190.0,10.0,23.0,12.282608695652174,8.26086956521739,34.30000000000001,26.700000000000017,951,845,20.0,931.0,825.0,106,1
2017-02-25,0.0,300.0,11.0,31.0,1,8,5,25,17,8,1,1,102.80000000000001,165.4,11.0,31.0,3.3161290322580648,5.335483870967742,29.299999999999955,41.099999999999994,936,1101,-15.0,951.0,1116.0,-165,1
