,001a,001b,002a,002b,003a,003b,004a,004b,005a,005b,006a,006b,007a,007b,008a,008b,009a,009b,010a,010b,011a,011b,012a,012b,013a,013b,014a,014b,015a,015b,016a,016b,017a,017b,018a,018b,019a,019b,020a,020b,021a,021b,022a,022b,023a,023b,024a,024b,025a,025b,026a,026b,027a,027b,028a,028b,029a,029b,030a,030b,031a,031b,032a,032b,033a,033b,034a,034b,035a,035b,036a,036b,037a,037b,038a,038b,039a,039b,040a,040b,041a,041b,042a,042b,043a,043b,044a,044b,045a,045b,046a,046b,047a,047b,048a,048b,049a,049b,050a,050b,051a,051b,052a,052b,053a,053b,054a,054b,055a,055b,056a,056b,057a,057b,058a,058b,059a,059b,060a,060b,061a,061b,062a,062b,063a,063b,064a,064b,065a,065b,066a,066b,067a,067b,068a,068b,069a,069b,070a,070b,071a,071b,072a,072b,073a,073b,074a,074b,075a,075b,076a,076b,077a,077b,078a,078b,079a,079b,080a,080b,081a,081b,082a,082b,083a,083b,084a,084b,085a,085b,086a,086b,087a,087b,088a,088b,089a,089b,090a,090b,091a,091b,092a,092b,093a,093b,094a,094b,095a,095b,096a,096b,097a,097b,098a,098b,099a,099b,100a,100b,101a,101b,102a,102b,103a,103b,104a,104b,105a,105b,106a,106b,107a,107b,108a,108b,109a,109b,110a,110b,111a,111b,112a,112b,113a,113b,114a,114b,115a,115b,116a,116b,117a,117b,118a,118b,119a,119b,120a,120b,121a,121b,122a,122b,123a,123b,124a,124b,125a,125b,126a,126b,127a,127b,128a,128b,129a,129b,130a,130b,131a,131b,132a,132b,133a,133b,134a,134b,135a,135b,136a,136b,137a,137b,138a,138b,139a,139b,140a,140b,141a,141b,142a,142b,143a,143b,144a,144b,145a,145b,146a,146b,147a,147b,148a,148b,149a,149b,150a
0,e3,e6,c3,d6,b4,Bd7,a3,b5,g3,a6,f4,Nc6,h4,Nf6,Nf3,Be7,Nd4,Nxd4,cxd4,O-O,Bd3,d5,Bb2,Bc6,Bc3,Nd7,Qf3,Nb6,O-O,Na4,e4,Nb6,e5,Nd7,Re1,Bb7,h5,f5,exf6,Bxf6,g4,Re8,f5,Bh4,Re2,e5,dxe5,d4,Bxd4,Bxf3,Rg2,Bxg2,Kxg2,Bf6,exf6,Nxf6,Kg3,Qxd4,Ra2,Qxd3+,Kf4,Qxb1,Rc2,Qxc2,Kg5,Qxd2+,Kh4,Qh2+,Kg5,h6+,Kg6,Nxg4,f6,Nxf6,a4,Qxh5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,d4,d5,e3,f6,Bb5+,c6,Bd3,g5,Nd2,e5,dxe5,fxe5,f3,h6,c3,Na6,Bg6+,Ke7,Ne2,Kf6,Bd3,Ne7,Qa4,Nc5,Qb4,Nxd3+,Kd1,Nf2+,Ke1,Nxh1,h4,Ng3,Nxg3,a5,hxg5+,Kxg5,Qg4+,Kf6,Nh5+,Kf7,Qg6+,Kxg6,g4,Kg5,e4,b5,exd5,cxd5,c4,dxc4,b4,c3,Nc4+,Kg6,Nxe5+,Kh7,Nf6+,Kg7,g5,hxg5,Bxg5,Ng6,Rd1,Qe7,Ne4,Nxe5,Bxe7,Bxe7,f4,Bg4,Rd5,Bf6,fxe5,Bh4+,Kf1,Rab8,Nxc3,Rhd8,Rc5,Rd1+,Nxd1,Bxd1,bxa5,b4,a6,Kf7,Rc7+,Ke6,Rc5,Be7,Rc1,Bg4,Rc4,Kxe5,Rxg4,Kf5,Rg7,Bf6,Rf7,Rc8,a7,Ra8,Rb7,Ke6,Rxb4,Rxa7,a4,Kd5,Rg4,Kc5,Rg6,Bc3,Ke2,Rxa4,Kd3,Be5,Ke3,Bd4+,Ke4,Bb2+,Kf5,Kd5,Rb6,Be5,Re6,Rf4+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,d4,d5,c3,Nc6,f3,Nf6,Nh3,Bf5,g4,Bg6,b4,h5,Nf4,hxg4,fxg4,Nxg4,Nxg6,fxg6,h3,Nf6,Bg2,Ne4,Bg5,Nxg5,Na3,Ne4,Bxe4,dxe4,d5,Qxd5,Qxd5,Rd8,Qxe4,e6,Qxe6+,Be7,Qxg6+,Kf8,Qf5+,Bf6,Qd3,Rxd3,exd3,Bxc3+,Kd1,Bxa1,Nc2,Bc3,a3,Ne5,d4,Nf3,Rf1,Rxh3,b5,Ke7,a4,Bxd4,Nxd4,Nxd4,Re1+,Kd6,Re4,Kd5,Re7,g5,Rxc7,a6,Rxb7,axb5,axb5,Nxb5,Rxb5+,Ke4,Rxg5,Rh1+,Ke2,Rh2+,Kf1,Ke3,Kg1,Rf2,Rg3+,Ke2,Rg2,Rxg2+,Kxg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,e4,e5,Nf3,f6,d4,d6,dxe5,fxe5,Bg5,Be7,h4,Bxg5,hxg5,h6,Nc3,Ne7,Qd2,c5,gxh6,gxh6,O-O-O,Bg4,Be2,b6,Nxe5,dxe5,Qxd8+,Kf7,Qxh8,Bxe2,Rd7,Nxd7,Qxa8,Ke6,Rxh6+,Kf7,Qb7,Kg7,Qxd7,Kxh6,Qxe7,Kh5,g3,Kg4,Nxe2,Kf3,Kd1,Kxf2,Qf6+,Ke3,Qxe5,a6,Ke1,c4,Qf4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,d4,e6,Nf3,d5,e3,c6,Bd3,h6,O-O,g5,b3,f6,h3,e5,Bg6+,Ke7,Ba3+,Kd7,Bxf8,Qxf8,Nbd2,Ne7,Bd3,h5,Be2,g4,Nh4,gxh3,gxh3,b5,dxe5,fxe5,e4,Kd8,Ndf3,Rg8+,Kh2,Nd7,Rg1,dxe4,Ng5,Ng6,Ne6+,Ke7,Nxf8,Kxf8,Nxg6+,Kf7,Nxe5+,Nxe5,Rxg8,Kxg8,Qg1+,Kf7,Bxh5+,Ke7,Qg5+,Kd6,Qf6+,Kd5,Bf7+,Kd4,c3+,Kxc3,Qxe5+,Kc2,Qxe4+,Kb2,Qd4+,Ka3,b4,a5,Qc3+,Ka4,Qb3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,d4,d6,e4,c5,c3,Nc6,Be3,cxd4,cxd4,e5,Nf3,Qa5+,Qd2,Qxd2+,Nbxd2,g6,Nc4,exd4,Nxd4,Nb4,a3,Nc6,Nxc6,bxc6,b4,Bg7,Nxd6+,Kf8,O-O-O,Be6,f4,a5,Bc5,Ke7,g3,axb4,Bxb4,Rc8,Nxc8+,Ke8,Nd6+,Ke7,f5,Bb3,Rd3,Ba2,fxg6,hxg6,h4,Kf6,Bh3,Ne7,Bc8,Bb3,Kb2,c5,Kxb3,Rh7,Bxc5,Rh6,g4,Rh5,gxh5,gxh5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,e4,e5,Nf3,d6,Bc4,Nc6,c3,f6,d4,g5,dxe5,fxe5,Bxg5,Qd7,Nbd2,h6,Bh4,a6,a4,b5,axb5,Nce7,bxa6,Ng6,Bd5,Ra7,Bf6,Nxf6,O-O,Nxd5,exd5,h5,Nc4,Bxa6,Re1,Be7,Rxa6,Rxa6,Qd3,Qb5,Qxg6+,Kf8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,e4,c5,Qh5,g6,Qxc5,d6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,e4,d6,Nc3,c5,Nf3,h5,d3,g6,Be3,b6,Be2,e6,O-O,d5,e5,d4,Nxd4,cxd4,Bxd4,Nc6,Be3,Nxe5,f4,Nc6,g3,Nf6,h4,Bd6,Ne4,Ng4,Bxg4,hxg4,Qxg4,e5,Qg5,Qxg5,fxg5,Be7,Nf6+,Bxf6,Rxf6,b5,Raf1,Nd8,Bc5,Bh3,Re1,Rc8,Rxe5+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,e4,e5,Nf3,Bb4,Nxe5,Nf6,Nd3,Bd6,f3,g5,a3,Bf4,b4,c6,Bb2,Nh5,Bxh8,Ke7,Be5,d6,Bxf4,gxf4,Nc3,Na6,Nf2,Be6,Nh3,b5,d4,Qb6,d5,cxd5,exd5,Bf5,Bxb5,Qd8,g4,Ng7,gxf5,Nxf5,Nxf4,Rc8,Nfe2,Ne3,Qd2,Nc4,Qg5+,f6,Qg7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
