date,day,weekday,start_time,game_time,color,elo,opp_elo,diff,result,won_by,num_moves,castled,opp_castled,castled_on,opp_castled_on,time_used,opp_time_used,day_game_num
2017-01-02,2,0,14.0,600.0,1,1000.0,1243.0,-243,0.0,8,38.0,1,1,15,10,336.2,399.9,1
2017-02-15,15,2,17.0,600.0,0,869.0,651.0,218,1.0,6,63.0,-1,-1,0,0,495.9,600.0,1
2017-02-15,15,2,18.0,600.0,1,973.0,978.0,-5,0.5,4,44.0,-1,-1,0,0,253.2,221.89999999999998,2
2017-02-16,16,3,11.0,600.0,0,975.0,1409.0,-434,0.0,8,27.0,-1,0,0,11,211.3,275.2,1
2017-02-16,16,3,11.0,600.0,0,949.0,1097.0,-148,0.0,8,37.0,-1,1,0,5,283.3,350.4,2
2017-02-16,16,3,11.0,600.0,1,876.0,1214.0,-338,0.0,7,32.0,0,-1,15,0,599.0,585.5,3
2017-02-16,16,3,11.0,300.0,1,845.0,1009.0,-164,0.0,6,2.0,-1,-1,0,0,300.0,1.3999999999999773,4
2017-02-16,16,3,12.0,600.0,1,798.0,1224.0,-426,0.0,5,21.0,1,-1,15,0,576.8,404.2,5
2017-02-17,17,4,11.0,300.0,0,784.0,674.0,110,1.0,7,2.0,-1,-1,0,0,0.0,0.0,1
2017-02-20,20,0,11.0,600.0,0,830.0,772.0,58,1.0,5,3.0,-1,-1,0,0,17.5,5.600000000000023,1
2017-02-20,20,0,11.0,600.0,0,878.0,792.0,86,1.0,7,24.0,-1,1,0,7,296.0,316.7,2
2017-02-20,20,0,12.0,600.0,0,917.0,1055.0,-138,0.0,5,24.0,-1,-1,0,0,321.7,215.10000000000002,3
2017-02-21,21,1,18.0,600.0,1,881.0,739.0,142,1.0,8,41.0,-1,1,0,12,290.7,250.10000000000002,1
2017-02-22,22,2,10.0,600.0,1,920.0,1005.0,-85,0.0,7,24.0,1,-1,12,0,473.3,431.2,1
2017-02-22,22,2,17.0,300.0,0,892.0,809.0,83,1.0,7,57.0,-1,1,0,16,262.4,241.4,2
2017-02-22,22,2,18.0,300.0,0,918.0,1021.0,-103,0.0,8,2.0,-1,-1,0,0,6.800000000000011,4.0,3
2017-02-23,23,3,10.0,300.0,1,896.0,957.0,-61,1.0,7,34.0,-1,0,0,7,211.1,229.7,1
2017-02-24,24,4,10.0,300.0,1,931.0,825.0,106,1.0,7,23.0,-1,1,0,12,282.5,190.0,1
2017-02-25,25,5,11.0,300.0,1,951.0,1116.0,-165,0.0,8,31.0,1,1,17,8,102.80000000000001,165.4,1
2017-02-25,25,5,21.0,600.0,1,936.0,1038.0,-102,0.0,7,31.0,0,-1,14,0,556.1,598.4,2
2017-02-27,27,0,17.0,300.0,0,915.0,1014.0,-99,0.0,6,22.0,-1,0,0,17,300.0,198.2,1
2017-02-27,27,0,17.0,300.0,0,898.0,891.0,7,0.0,7,30.0,-1,1,0,14,0.0,202.6,2
2017-02-28,28,1,9.0,600.0,1,876.0,884.0,-8,1.0,8,30.0,0,1,19,19,190.10000000000002,423.5,1
2017-02-28,28,1,11.0,600.0,0,898.0,986.0,-88,0.0,7,8.0,-1,-1,0,0,46.5,37.89999999999998,2
2017-02-28,28,1,15.0,600.0,1,883.0,835.0,48,0.0,7,60.0,0,1,17,14,485.9,511.5,3
2017-03-05,5,6,23.0,600.0,0,862.0,818.0,44,0.5,4,19.0,1,1,18,6,203.7,131.3,1
2017-03-06,6,0,18.0,600.0,0,860.0,950.0,-90,0.0,7,25.0,-1,-1,0,0,315.1,262.5,1
2017-03-07,7,1,17.0,600.0,1,847.0,843.0,4,0.0,8,45.0,1,0,19,14,595.6,599.3,1
2017-03-08,8,2,17.0,180.0,1,830.0,826.0,4,1.0,6,16.0,-1,-1,0,0,65.4,180.0,1
2017-03-08,8,2,17.0,180.0,1,846.0,913.0,-67,0.0,8,41.0,0,-1,29,0,0.0,0.0,2
2017-03-19,19,6,17.0,600.0,0,833.0,930.0,-97,0.0,8,51.0,1,-1,7,0,592.9,428.6,1
2017-03-20,20,0,15.0,600.0,1,821.0,799.0,22,1.0,6,43.0,1,-1,22,0,251.0,600.0,1
2017-03-20,20,0,16.0,600.0,0,836.0,819.0,17,0.0,8,64.0,-1,-1,0,0,528.1,425.3,2
2017-03-20,20,0,16.0,600.0,1,820.0,852.0,-32,0.0,8,20.0,1,-1,10,0,438.4,441.7,3
2017-03-20,20,0,17.0,300.0,0,807.0,830.0,-23,1.0,7,45.0,1,-1,21,0,164.4,299.4,4
2017-03-20,20,0,18.0,300.0,1,822.0,852.0,-30,0.0,6,33.0,-1,-1,0,0,300.0,285.3,5
